instancia,insertionSort,selectionSort,mergeSort,quickSort
0,0.390625,0.390625,0.015625,0.0
1,0.375,0.40625,0.0,0.0
2,0.390625,0.390625,0.015625,0.0
3,0.390625,0.390625,0.0,0.0
4,0.40625,0.390625,0.015625,0.0
5,0.390625,0.390625,0.0,0.0
6,0.375,0.390625,0.015625,0.0
7,0.375,0.390625,0.0,0.0
8,0.609375,0.390625,0.0,0.0
9,0.390625,0.375,0.0,0.0
10,0.390625,0.390625,0.0,0.0
11,0.375,0.390625,0.0,0.0
12,0.375,0.390625,0.0,0.0
13,0.390625,0.390625,0.0,0.0
14,0.40625,0.375,0.015625,0.0
15,0.40625,0.375,0.0,0.0
16,0.390625,0.375,0.0,0.015625
17,0.390625,0.40625,0.0,0.0
18,0.5625,0.53125,0.0,0.0
19,0.375,0.375,0.0,0.0
20,0.40625,0.390625,0.0,0.0
21,0.390625,0.390625,0.015625,0.0
22,0.375,0.390625,0.0,0.0
23,0.40625,0.390625,0.0,0.0
24,0.40625,0.390625,0.0,0.0
25,0.40625,0.390625,0.0,0.0
26,0.390625,0.390625,0.0,0.0
27,0.390625,0.40625,0.0,0.0
28,0.390625,0.390625,0.0,0.0
29,0.390625,0.390625,0.0,0.0
30,0.390625,0.375,0.015625,0.0
31,0.375,0.390625,0.0,0.0
32,0.390625,0.390625,0.0,0.0
33,0.390625,0.375,0.015625,0.0
34,0.390625,0.390625,0.0,0.0
35,0.390625,0.390625,0.0,0.0
36,0.359375,0.390625,0.0,0.0
37,0.359375,0.375,0.0,0.015625
38,0.359375,0.390625,0.0,0.015625
39,0.375,0.390625,0.0,0.0
40,0.359375,0.390625,0.0,0.015625
41,0.359375,0.390625,0.0,0.0
42,0.359375,0.390625,0.0,0.0
43,0.375,0.390625,0.0,0.0
44,0.40625,0.40625,0.015625,0.0
45,0.390625,0.40625,0.0,0.0
46,0.390625,0.390625,0.0,0.0
47,0.375,0.390625,0.0,0.015625
48,0.375,0.390625,0.015625,0.0
49,0.40625,0.390625,0.0,0.015625
50,0.390625,0.390625,0.0,0.0
51,0.46875,0.53125,0.0,0.0
52,0.390625,0.390625,0.0,0.0
53,0.390625,0.390625,0.0,0.0
54,0.390625,0.390625,0.0,0.0
55,0.390625,0.390625,0.0,0.0
56,0.40625,0.390625,0.0,0.0
57,0.40625,0.390625,0.0,0.0
58,0.390625,0.375,0.0,0.0
59,0.40625,0.390625,0.0,0.0
60,0.421875,0.40625,0.0,0.0
61,0.453125,0.390625,0.0,0.015625
62,0.390625,0.390625,0.0,0.0
63,0.390625,0.390625,0.0,0.0
64,0.421875,0.375,0.015625,0.0
65,0.390625,0.375,0.015625,0.0
66,0.390625,0.390625,0.0,0.0
67,0.40625,0.390625,0.0,0.0
68,0.40625,0.390625,0.0,0.0
69,0.5,0.546875,0.0,0.0
70,0.390625,0.375,0.0,0.015625
71,0.390625,0.390625,0.0,0.0
72,0.375,0.390625,0.0,0.0
73,0.375,0.375,0.015625,0.0
74,0.359375,0.390625,0.0,0.015625
75,0.359375,0.390625,0.0,0.0
76,0.390625,0.390625,0.0,0.0
77,0.375,0.421875,0.0,0.015625
78,0.375,0.375,0.0,0.015625
79,0.375,0.390625,0.0,0.0
80,0.375,0.375,0.015625,0.0
81,0.359375,0.390625,0.015625,0.0
82,0.375,0.390625,0.0,0.0
83,0.375,0.375,0.0,0.015625
84,0.421875,0.4375,0.0,0.0
85,0.609375,0.53125,0.0,0.0
86,0.375,0.390625,0.015625,0.0
87,0.375,0.390625,0.0,0.015625
88,0.390625,0.390625,0.0,0.0
89,0.375,0.390625,0.0,0.0
90,0.390625,0.390625,0.0,0.0
91,0.390625,0.375,0.015625,0.0
92,0.390625,0.375,0.0,0.015625
93,0.390625,0.390625,0.0,0.0
94,0.375,0.375,0.0,0.015625
95,0.375,0.390625,0.0,0.0
96,0.375,0.390625,0.0,0.0
97,0.375,0.375,0.015625,0.0
98,0.375,0.390625,0.0,0.0
99,0.390625,0.390625,0.0,0.0
