instancia,artista,t_lineal,t_binaria
0,Artista_0,0.15625,0.0
0,Artista_163,0.25,0.0
0,Artista_327,0.28125,0.0
0,Artista_491,0.296875,0.0
0,Artista_654,0.328125,0.0
1,Artista_0,0.265625,0.0
1,Artista_163,0.328125,0.0
1,Artista_327,0.3125,0.0
1,Artista_491,0.328125,0.0
1,Artista_654,0.328125,0.0
2,Artista_0,0.203125,0.0
2,Artista_163,0.546875,0.0
2,Artista_327,0.453125,0.0
2,Artista_491,0.640625,0.0
2,Artista_654,0.53125,0.0
3,Artista_0,0.21875,0.0
3,Artista_163,0.34375,0.0
3,Artista_327,0.296875,0.0
3,Artista_491,0.34375,0.0
3,Artista_654,0.375,0.0
4,Artista_0,0.265625,0.015625
4,Artista_163,0.28125,0.0
4,Artista_327,0.296875,0.0
4,Artista_491,0.3125,0.0
4,Artista_654,0.25,0.0
5,Artista_0,0.21875,0.0
5,Artista_163,0.265625,0.0
5,Artista_327,0.3125,0.0
5,Artista_491,0.265625,0.0
5,Artista_654,0.265625,0.0
6,Artista_0,0.234375,0.0
6,Artista_163,0.25,0.0
6,Artista_327,0.265625,0.0
6,Artista_491,0.234375,0.0
6,Artista_654,0.3125,0.0
7,Artista_0,0.140625,0.0
7,Artista_163,0.28125,0.0
7,Artista_327,0.34375,0.0
7,Artista_491,0.265625,0.0
7,Artista_654,0.28125,0.0
8,Artista_0,0.25,0.0
8,Artista_163,0.34375,0.0
8,Artista_327,0.40625,0.0
8,Artista_491,0.265625,0.0
8,Artista_654,0.28125,0.0
9,Artista_0,0.203125,0.0
9,Artista_163,0.28125,0.0
9,Artista_327,0.296875,0.0
9,Artista_491,0.234375,0.0
9,Artista_654,0.34375,0.0
10,Artista_0,0.25,0.0
10,Artista_163,0.28125,0.0
10,Artista_327,0.25,0.0
10,Artista_491,0.265625,0.0
10,Artista_654,0.25,0.0
11,Artista_0,0.359375,0.0
11,Artista_163,0.34375,0.0
11,Artista_327,0.296875,0.0
11,Artista_491,0.265625,0.0
11,Artista_654,0.46875,0.0
12,Artista_0,0.328125,0.0
12,Artista_163,0.390625,0.0
12,Artista_327,0.4375,0.0
12,Artista_491,0.515625,0.0
12,Artista_654,0.46875,0.0
13,Artista_0,0.546875,0.0
13,Artista_163,0.546875,0.0
13,Artista_327,0.484375,0.0
13,Artista_491,0.421875,0.0
13,Artista_654,0.453125,0.0
14,Artista_0,0.421875,0.0
14,Artista_163,0.375,0.0
14,Artista_327,0.390625,0.0
14,Artista_491,0.40625,0.0
14,Artista_654,0.609375,0.015625
15,Artista_0,0.21875,0.0
15,Artista_163,0.234375,0.015625
15,Artista_327,0.3125,0.0
15,Artista_491,0.5,0.0
15,Artista_654,0.421875,0.0
16,Artista_0,0.390625,0.0
16,Artista_163,0.40625,0.0
16,Artista_327,0.328125,0.0
16,Artista_491,0.390625,0.0
16,Artista_654,0.328125,0.0
17,Artista_0,0.25,0.0
17,Artista_163,0.328125,0.0
17,Artista_327,0.296875,0.0
17,Artista_491,0.296875,0.0
17,Artista_654,0.34375,0.0
18,Artista_0,0.34375,0.0
18,Artista_163,0.40625,0.0
18,Artista_327,0.328125,0.0
18,Artista_491,0.375,0.0
18,Artista_654,0.3125,0.0
19,Artista_0,0.28125,0.0
19,Artista_163,0.265625,0.0
19,Artista_327,0.265625,0.0
19,Artista_491,0.34375,0.0
19,Artista_654,0.34375,0.0
20,Artista_0,0.40625,0.0
20,Artista_163,0.53125,0.0
20,Artista_327,0.609375,0.0
20,Artista_491,0.515625,0.0
20,Artista_654,0.5625,0.0
21,Artista_0,0.40625,0.0
21,Artista_163,0.421875,0.015625
21,Artista_327,0.40625,0.0
21,Artista_491,0.3125,0.0
21,Artista_654,0.296875,0.0
22,Artista_0,0.296875,0.0
22,Artista_163,0.359375,0.0
